model,scenario,n_cav,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,label
Game (Ours),1200pcu/h,120,86,89.57,0.11,29,2,4,1200pcu/h
Game (Ours),2000pcu/h,200,102,87.61,1.23,0,0,26,2000pcu/h
Game (Ours),2800pcu/h,280,161,89.75,1.66,19,10,34,2800pcu/h
Game (Ours),3600pcu/h,360,186,89.68,2.97,0,2,34,3600pcu/h
SUMO Default,1200pcu/h,120,49,97.51,13.4,0,0,4,1200pcu/h
SUMO Default,2000pcu/h,200,69,94.1,12.27,0,2,32,2000pcu/h
SUMO Default,2800pcu/h,280,72,82.13,5.11,0,2,34,2800pcu/h
SUMO Default,3600pcu/h,360,113,85.15,5.0,0,2,27,3600pcu/h
Rule-Based,1200pcu/h,120,64,87.24,0.21,0,2,14,1200pcu/h
Rule-Based,2000pcu/h,200,102,88.21,1.59,0,0,26,2000pcu/h
Rule-Based,2800pcu/h,280,142,89.28,2.33,0,10,34,2800pcu/h
Rule-Based,3600pcu/h,360,186,90.33,3.62,0,2,34,3600pcu/h
No-V2X,1200pcu/h,120,86,89.57,0.11,29,2,4,1200pcu/h
No-V2X,2000pcu/h,200,102,87.36,0.98,0,0,26,2000pcu/h
No-V2X,2800pcu/h,280,171,90.07,1.48,34,10,33,2800pcu/h
No-V2X,3600pcu/h,360,187,88.97,2.21,0,2,34,3600pcu/h
LKSQ (Ours),1200pcu/h,120,86,89.54,0.09,29,2,4,1200pcu/h
LKSQ (Ours),2000pcu/h,200,102,87.61,1.23,0,0,26,2000pcu/h
LKSQ (Ours),2800pcu/h,280,161,89.73,1.64,19,10,34,2800pcu/h
LKSQ (Ours),3600pcu/h,360,186,89.68,2.97,0,2,34,3600pcu/h
