model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue
Game (Ours),1200pcu/h,51,160.33,1.8,20,0,23
Game (Ours),2000pcu/h,92,162.3,3.71,55,0,32
Game (Ours),2800pcu/h,130,166.32,7.97,126,0,38
Game (Ours),3600pcu/h,164,169.76,11.26,195,0,43
SUMO Default,1200pcu/h,36,169.96,11.4,0,0,19
SUMO Default,2000pcu/h,25,162.12,3.18,0,0,62
SUMO Default,2800pcu/h,38,176.29,18.02,0,0,72
SUMO Default,3600pcu/h,60,175.2,15.85,0,0,89
Rule-Based,1200pcu/h,36,146.07,2.21,75,12,8
Rule-Based,2000pcu/h,110,154.56,3.37,123,0,12
Rule-Based,2800pcu/h,135,135.35,6.38,210,4,16
Rule-Based,3600pcu/h,90,157.93,7.72,378,6,25
No-V2X,1200pcu/h,50,160.25,1.69,22,0,22
No-V2X,2000pcu/h,93,163.07,4.64,68,0,33
No-V2X,2800pcu/h,132,166.12,7.76,123,0,40
No-V2X,3600pcu/h,165,169.24,10.76,178,0,46
LKSQ (Ours),1200pcu/h,40,159.41,1.13,0,0,38
LKSQ (Ours),2000pcu/h,69,161.32,2.81,0,0,69
LKSQ (Ours),2800pcu/h,93,164.07,5.67,0,0,92
LKSQ (Ours),3600pcu/h,118,167.53,8.96,0,0,119
